scenario,description,max_turnover,buffer_multiplier,periods,avg_turnover,avg_baseline_overlap,avg_similarity,avg_rank,avg_retained_outside_candidate_count,gross_final_nav,gross_annual_return,gross_sharpe_ratio,gross_max_drawdown,net_final_nav_5bp,net_annual_return_5bp,net_sharpe_ratio_5bp,net_max_drawdown_5bp,net_final_nav_10bp,net_annual_return_10bp,net_sharpe_ratio_10bp,net_max_drawdown_10bp,net_final_nav_20bp,net_annual_return_20bp,net_sharpe_ratio_20bp,net_max_drawdown_20bp,net_final_nav_50bp,net_annual_return_50bp,net_sharpe_ratio_50bp,net_max_drawdown_50bp,net_final_nav_100bp,net_annual_return_100bp,net_sharpe_ratio_100bp,net_max_drawdown_100bp,turnover_reduction_vs_baseline,gross_annual_return_diff_vs_baseline,net_annual_return_5bp_diff_vs_baseline,net_annual_return_10bp_diff_vs_baseline,net_annual_return_20bp_diff_vs_baseline,net_annual_return_50bp_diff_vs_baseline,net_annual_return_100bp_diff_vs_baseline
baseline,原始策略,,,301,0.7690033222591363,1.0,0.39034370083178294,50.54076411960133,0.0,8.005655583866051,0.42741641853152235,1.3826845076165903,-0.18027759485430261,7.130562542856781,0.3994265237507908,1.285845614508194,-0.1833872056441217,6.350831646773683,0.3719746219479707,1.1907938469777593,-0.18648616948499475,5.037138520052822,0.31864445543324904,1.0059242172066052,-0.19958566885575701,2.510498836082405,0.1705497026211804,0.49099068767892906,-0.28172648557439306,0.7836095840113868,-0.04085808335434549,-0.24845281686817164,-0.5579192183377762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tc50_buf2,"max_turnover=50%, buffer=2x",0.5,2.0,301,0.497109634551495,0.7034219269102989,0.3336214443018978,363.2599140910769,20.51827242524917,6.843092282167947,0.38960929673390376,1.2617386204123588,-0.1963386498440668,6.349749614363673,0.37193462942876665,1.1999867481515947,-0.1981450806982895,5.891863707395426,0.3544804408721567,1.138981599168045,-0.1999479013997354,5.072482099618525,0.32022274713234333,1.0191757980030194,-0.20419369505083795,3.2354068892289236,0.2224673028358255,0.6767708347504757,-0.22891347383049243,1.5268295362925008,0.07508397518184551,0.15887195744447746,-0.3909661030415099,0.2718936877076413,-0.03780712179761858,-0.027491894322024146,-0.01749418107581402,0.001578291699094292,0.05191760021464509,0.115942058536191
tc50_buf3,"max_turnover=50%, buffer=3x",0.5,3.0,301,0.4970431893687708,0.7066112956810631,0.34344791717944845,297.40304137722745,14.491694352159469,6.741232557942692,0.3860486357340407,1.2475697674764255,-0.19922117201736944,6.255295884409232,0.3684215986637127,1.1860629771284235,-0.20102112367859526,5.804279200604337,0.35101441690857516,1.1252999962640862,-0.20281747813571394,4.997178055633864,0.31684889830404894,1.0059699298708333,-0.20854782990132015,3.1875672094676437,0.2193558269630984,0.664925804516549,-0.23463617584485574,1.5044048840966069,0.07236610127243526,0.1490891863430717,-0.38704593579960855,0.27196013289036547,-0.041367782797481656,-0.031004925087078083,-0.020960205039395552,-0.0017955571292000982,0.048806124341918,0.11322418462678074
tc50_buf1p5,"max_turnover=50%, buffer=1.5x",0.5,1.5,301,0.49737541528239204,0.7002325581395349,0.32563961721380014,414.8115742138998,24.750830564784053,6.337000096871894,0.3714629742371327,1.2040343311250874,-0.19725501483746466,5.879908150115838,0.35400984538253444,1.142739569423037,-0.1990593859310713,5.455684546414884,0.3367745481772908,1.0821865596122966,-0.2018639979107909,4.696586169152743,0.30294681924112754,0.963270331203059,-0.21020680675989967,2.9949263074832095,0.20642088469799802,0.623420102371282,-0.23627451035428682,1.4127749088329973,0.060899089180224575,0.10942243695902065,-0.4042221402524312,0.2716279069767442,-0.05595344429438964,-0.04541667836825636,-0.03520007377067991,-0.0156976361921215,0.03587118207681761,0.10175717253457006
tc40_buf2,"max_turnover=40%, buffer=2x",0.4,2.0,301,0.3986710963455149,0.5884385382059801,0.2987280881462274,560.0097020034228,31.574750830564785,5.6840223887120045,0.34618411232947044,1.1106065466926234,-0.20742612508695846,5.3529785715369815,0.33243533001322123,1.0624822382013208,-0.20885161728787194,5.041154597870555,0.3188242575574216,1.0148264028139728,-0.21027483006944725,4.470780929252259,0.2920098465071621,0.9209021364225576,-0.2131144301304002,3.1175840157428416,0.2147336725276323,0.6499118717989191,-0.22659314164004873,1.707879819954052,0.09589302950194023,0.23218427200675315,-0.36852852308701256,0.37033222591362136,-0.08123230620205191,-0.06699119373756957,-0.0531503643905491,-0.026634608926086933,0.0441839699064519,0.13675111285628572
tc40_buf3,"max_turnover=40%, buffer=3x",0.4,3.0,301,0.39860465116279065,0.5924584717607974,0.31119590610063036,475.1202792040001,24.33887043189369,5.5995273775183305,0.34273931259298274,1.0972865991026601,-0.21526371017869794,5.273457388834006,0.3290279866448873,1.0493473364395958,-0.21667510600730355,4.96631540873539,0.3154539725876495,1.0018744846956955,-0.21808424495723688,4.404497497071622,0.28871250091103984,0.9083100848189792,-0.2208957648507649,3.071547761781896,0.2116460149593402,0.6383521188573243,-0.23698110624062207,1.6828294296804334,0.09312625637450589,0.2221969102929197,-0.34409193999378473,0.3703986710963456,-0.08467710593853961,-0.07039853710590349,-0.056520649360321196,-0.029931954522209203,0.0410963123381598,0.13398433972885138
tc40_buf1p5,"max_turnover=40%, buffer=1.5x",0.4,1.5,301,0.3986710963455149,0.5849169435215947,0.2891444766746043,622.7585190778213,36.285714285714285,5.567466313890405,0.3414209235130834,1.0986513247554839,-0.20797063192186604,5.24321085279232,0.32772078836594587,1.0504854790667466,-0.20929772950837877,4.937781114742926,0.3141578758219348,1.002788524327701,-0.21072013976968396,4.379103479575812,0.2874383419148996,0.9087832565025761,-0.21355813863885476,3.0536551057295385,0.21043559339352313,0.6375595998624275,-0.24232837122342066,1.6728581830801,0.09201544294132646,0.21947323324712698,-0.3849988505875346,0.37033222591362136,-0.08599549501843895,-0.07170573538484493,-0.057816746126035934,-0.031206113518349454,0.039885890772342725,0.13287352629567195
tc30_buf3,"max_turnover=30%, buffer=3x",0.3,3.0,301,0.2990033222591362,0.4726910299003321,0.2655152776454984,734.380581227558,37.24252491694352,5.167217414462993,0.32440869892254587,1.0430709915423768,-0.2079313477279584,4.939830162688469,0.31425115516773783,1.0072027753147899,-0.2092372812602007,4.722417370335945,0.30417000815619755,0.9715967367866448,-0.21054125706717708,4.315789629985826,0.28423465539200454,0.901163618159724,-0.21698266000119892,3.293650381168588,0.22620437094171675,0.6959619812468059,-0.24605825250434943,2.097993936495164,0.135150365244318,0.3734215089003582,-0.3436055610712496,0.4700000000000001,-0.10300771960897648,-0.08517536858305297,-0.06780461379177316,-0.0344098000412445,0.05565466832053634,0.1760084485986635
tc30_buf2,"max_turnover=30%, buffer=2x",0.3,2.0,301,0.2990033222591362,0.46734219269102983,0.25033145285546843,838.4116027383469,44.69435215946844,4.864417665859117,0.3107968003801451,0.9949661875961038,-0.2089656309781056,4.650355342600337,0.3007436529911587,0.959457767245965,-0.2099143740187568,4.445682973881496,0.2907661171612903,0.9242088683298254,-0.21086212125274362,4.062883682709619,0.2710356543222807,0.8544821368409224,-0.21466668330672678,3.10064195372844,0.2136017887455377,0.6513378812058527,-0.2438282744093654,1.975051163705101,0.1234836104014625,0.33202918895045685,-0.3380487968159972,0.4700000000000001,-0.11661961815137722,-0.09868287075963211,-0.0812085047866804,-0.047608801110968324,0.04305208612435729,0.16434169375580798
tc30_buf1p5,"max_turnover=30%, buffer=1.5x",0.3,1.5,301,0.2990033222591362,0.46232558139534874,0.23885774555129857,913.9155840800029,49.22591362126246,4.5840154431315545,0.2975502379196471,0.9586654018844685,-0.22313918737883354,4.382292428576735,0.2875986849538199,0.9231163042058488,-0.22442004678688743,4.189418098402652,0.2777219794368826,0.8878270433360161,-0.2256989860583002,3.8286847109989615,0.2581909073869679,0.818020524731841,-0.2282511145521664,2.921909995366828,0.20133745311996387,0.6146442371519977,-0.25344018492349785,1.8612022357665123,0.11212998502320914,0.2949721942597154,-0.35137920015570734,0.4700000000000001,-0.12986618061187527,-0.11182783879697089,-0.09425264251108811,-0.060453548046281114,0.03078775049878346,0.15298806837755463
tc20_buf3,"max_turnover=20%, buffer=3x",0.2,3.0,301,0.19933554817275745,0.34189368770764117,0.20190773994200578,1102.3708100942983,52.91694352159468,4.165425677029261,0.27646715691717283,0.8875176968403802,-0.24713747686757792,4.042312679723504,0.26993237779600965,0.864053717294248,-0.24796521169283292,3.922826629738199,0.26343040443022914,0.8407042006152486,-0.24879211911429944,3.694312472369131,0.25052423000644697,0.7943463472853413,-0.2504434547230281,3.0853600908991634,0.21257641513135672,0.6579629406266041,-0.2553776811574814,2.284661041318289,0.15182434793392585,0.43936834034900624,-0.306528519158747,0.5696677740863788,-0.15094926161434952,-0.12949414595478115,-0.10854421751774157,-0.06812022542680207,0.04202671251017631,0.19268243128827134
tc20_buf2,"max_turnover=20%, buffer=2x",0.2,2.0,301,0.19933554817275745,0.3360132890365449,0.18635340458735336,1208.3459055673009,59.52823920265781,3.90419739550805,0.26240192408809904,0.8399082013991808,-0.24398105405715154,3.7888052409714907,0.25593915088524555,0.8166151273016624,-0.24466119900517558,3.6768125753179617,0.24950882195523683,0.7934356762125192,-0.24534080000045855,3.4626293327847923,0.23674485906209908,0.7474154506634082,-0.24669837165533715,2.8918664657783446,0.19921518643898928,0.6120251879346402,-0.2507580712990114,2.1413820288098506,0.13913253871337883,0.39502190557501615,-0.2884110034689257,0.5696677740863788,-0.1650144944434233,-0.14348737286554525,-0.12246579999273388,-0.08189959637114996,0.028665483817808868,0.17999062206772432
tc20_buf1p5,"max_turnover=20%, buffer=1.5x",0.2,1.5,301,0.19933554817275745,0.33345514950166116,0.1774793693197224,1267.6265998859021,63.08637873754153,3.438287041560428,0.23525310615803807,0.7461006590157399,-0.26345431575198874,3.3366652972046547,0.22892931931892457,0.723169579330062,-0.2641169417732261,3.2380373611506568,0.2226372790163489,0.7003503425752935,-0.26477903785265977,3.0494138381268363,0.2101478138865942,0.6550452397632366,-0.2661016416694346,2.546763390254999,0.17342524257533865,0.5217585079631755,-0.2700933761857053,1.885838582126607,0.11463471333650666,0.30812563063605486,-0.3024981326688815,0.5696677740863788,-0.19216331237348427,-0.17049720443186622,-0.14933734293162182,-0.10849664154665484,0.002875539954158235,0.15549279669085214
